,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
997,16,16.0,2013-11-29,28-334,MIA,@,TOR,W (+7),1,36:27,10,17,.588,3,5,.600,4,6,.667,1,5,6,3,1,1,3,2,27,20.5,+3
998,17,17.0,2013-12-01,28-336,MIA,,CHA,W (+1),1,38:16,8,13,.615,1,3,.333,9,10,.900,0,5,5,4,1,1,3,0,26,22.7,-4
999,18,18.0,2013-12-03,28-338,MIA,,DET,L (-10),1,36:58,8,15,.533,2,5,.400,5,8,.625,3,2,5,6,2,1,6,2,23,17.3,-6
1000,19,19.0,2013-12-05,28-340,MIA,@,CHI,L (-20),1,33:18,7,17,.412,1,4,.250,6,8,.750,0,5,5,2,3,0,1,2,21,15.2,-21
1001,20,20.0,2013-12-07,28-342,MIA,@,MIN,W (+21),1,30:34,9,12,.750,0,0,,3,5,.600,4,10,14,8,2,0,7,3,21,20.6,+9
1002,21,21.0,2013-12-08,28-343,MIA,@,DET,W (+15),1,35:01,10,15,.667,0,2,.000,4,5,.800,1,6,7,9,2,0,6,2,24,21.1,+18
1003,22,22.0,2013-12-10,28-345,MIA,@,IND,L (-6),1,38:32,6,16,.375,1,4,.250,4,6,.667,1,13,14,6,2,0,5,3,17,12.0,-2
1004,23,23.0,2013-12-14,28-349,MIA,,CLE,W (+7),1,40:37,9,12,.750,0,2,.000,7,10,.700,2,7,9,9,4,0,2,2,25,30.0,+6
1005,24,24.0,2013-12-16,28-351,MIA,,UTA,W (+23),1,33:49,13,17,.765,0,1,.000,4,5,.800,1,8,9,9,1,0,3,1,30,29.9,+24
1006,25,25.0,2013-12-18,28-353,MIA,,IND,W (+3),1,36:14,8,14,.571,1,3,.333,7,7,1.000,0,9,9,7,3,0,3,3,24,23.8,+16
1007,26,26.0,2013-12-20,28-355,MIA,,SAC,W (+19),1,30:40,8,11,.727,1,2,.500,1,2,.500,2,4,6,8,1,1,1,1,18,21.6,+14
1008,27,27.0,2013-12-23,28-358,MIA,,ATL,W (+2),1,45:38,16,28,.571,4,9,.444,2,6,.333,4,4,8,6,2,0,0,2,38,32.6,-4
1009,28,28.0,2013-12-25,28-360,MIA,@,LAL,W (+6),1,35:48,7,14,.500,0,4,.000,5,9,.556,0,8,8,4,0,0,2,2,19,12.8,0
